Sample-Codename	Path	ComparisonPair	ComparisonOrder
mouse_antiadar	/storage/liam/re-basecall/p48_anti-adar_guppy6.3	mouse-antiadar-scramble	A
mouse_scramble	/storage/liam/re-basecall/p50_Scramble_Si_guppy6.3	mouse-antiadar-scramble	B
